       Lattice Point                 KS orbital 1                      KS orbital 2
                             Real Part         Imaginary Part      Real Part           Imaginary Part
       -9.6000000000       -0.2777283994        0.0000000000       -0.2777283067        0.0000000000
       -9.2000000000       -0.2617873406        0.0000000000       -0.2617872635        0.0000000000
       -8.8000000000       -0.2314239968        0.0000000000       -0.2314239467        0.0000000000
       -8.4000000000       -0.1936932970        0.0000000000       -0.1936932744        0.0000000000
       -8.0000000000       -0.1547693556        0.0000000000       -0.1547693672        0.0000000000
       -7.6000000000       -0.1189284294        0.0000000000       -0.1189284731        0.0000000000
       -7.2000000000       -0.0884454113        0.0000000000       -0.0884454952        0.0000000000
       -6.8000000000       -0.0640095766        0.0000000000       -0.0640097031        0.0000000000
       -6.4000000000       -0.0452956689        0.0000000000       -0.0452958553        0.0000000000
       -6.0000000000       -0.0314685983        0.0000000000       -0.0314688604        0.0000000000
       -5.6000000000       -0.0215383100        0.0000000000       -0.0215386867        0.0000000000
       -5.2000000000       -0.0145656141        0.0000000000       -0.0145661522        0.0000000000
       -4.8000000000       -0.0097564147        0.0000000000       -0.0097572008        0.0000000000
       -4.4000000000       -0.0064858758        0.0000000000       -0.0064870287        0.0000000000
       -4.0000000000       -0.0042861464        0.0000000000       -0.0042878640        0.0000000000
       -3.6000000000       -0.0028191795        0.0000000000       -0.0028217500        0.0000000000
       -3.2000000000       -0.0018471498        0.0000000000       -0.0018510329        0.0000000000
       -2.8000000000       -0.0012059912        0.0000000000       -0.0012118767        0.0000000000
       -2.4000000000       -0.0007841985        0.0000000000       -0.0007931667        0.0000000000
       -2.0000000000       -0.0005067372        0.0000000000       -0.0005204330        0.0000000000
       -1.6000000000       -0.0003234233        0.0000000000       -0.0003444028        0.0000000000
       -1.2000000000       -0.0002006635        0.0000000000       -0.0002328498        0.0000000000
       -0.8000000000       -0.0001157390        0.0000000000       -0.0001652169        0.0000000000
       -0.4000000000       -0.0000528005        0.0000000000       -0.0001289740        0.0000000000
        0.0000000000        0.0000000000        0.0000000000       -0.0001175587        0.0000000000
        0.4000000000        0.0000528005        0.0000000000       -0.0001289740        0.0000000000
        0.8000000000        0.0001157390        0.0000000000       -0.0001652169        0.0000000000
        1.2000000000        0.0002006635        0.0000000000       -0.0002328498        0.0000000000
        1.6000000000        0.0003234233        0.0000000000       -0.0003444028        0.0000000000
        2.0000000000        0.0005067372        0.0000000000       -0.0005204330        0.0000000000
        2.4000000000        0.0007841985        0.0000000000       -0.0007931667        0.0000000000
        2.8000000000        0.0012059912        0.0000000000       -0.0012118767        0.0000000000
        3.2000000000        0.0018471498        0.0000000000       -0.0018510329        0.0000000000
        3.6000000000        0.0028191795        0.0000000000       -0.0028217500        0.0000000000
        4.0000000000        0.0042861464        0.0000000000       -0.0042878640        0.0000000000
        4.4000000000        0.0064858758        0.0000000000       -0.0064870287        0.0000000000
        4.8000000000        0.0097564147        0.0000000000       -0.0097572008        0.0000000000
        5.2000000000        0.0145656141        0.0000000000       -0.0145661522        0.0000000000
        5.6000000000        0.0215383100        0.0000000000       -0.0215386867        0.0000000000
        6.0000000000        0.0314685983        0.0000000000       -0.0314688604        0.0000000000
        6.4000000000        0.0452956689        0.0000000000       -0.0452958553        0.0000000000
        6.8000000000        0.0640095766        0.0000000000       -0.0640097031        0.0000000000
        7.2000000000        0.0884454113        0.0000000000       -0.0884454952        0.0000000000
        7.6000000000        0.1189284294        0.0000000000       -0.1189284731        0.0000000000
        8.0000000000        0.1547693556        0.0000000000       -0.1547693672        0.0000000000
        8.4000000000        0.1936932970        0.0000000000       -0.1936932744        0.0000000000
        8.8000000000        0.2314239968        0.0000000000       -0.2314239467        0.0000000000
        9.2000000000        0.2617873406        0.0000000000       -0.2617872635        0.0000000000
        9.6000000000        0.2777283994        0.0000000000       -0.2777283067        0.0000000000
       10.0000000000        0.2733767635        0.0000000000       -0.2733766614        0.0000000000
       10.4000000000        0.2466682809        0.0000000000       -0.2466681847        0.0000000000
       10.8000000000        0.2012631400        0.0000000000       -0.2012630562        0.0000000000
       11.2000000000        0.1462500828        0.0000000000       -0.1462500215        0.0000000000
       11.6000000000        0.0930516187        0.0000000000       -0.0930515773        0.0000000000
       12.0000000000        0.0508672113        0.0000000000       -0.0508671895        0.0000000000
       12.4000000000        0.0233956732        0.0000000000       -0.0233956619        0.0000000000
       12.8000000000        0.0088464750        0.0000000000       -0.0088464717        0.0000000000
       13.2000000000        0.0026804189        0.0000000000       -0.0026804170        0.0000000000
       13.6000000000        0.0006325598        0.0000000000       -0.0006325601        0.0000000000
       14.0000000000        0.0001084197        0.0000000000       -0.0001084190        0.0000000000
  
  
      -14.0000000000       -0.0001084197        0.0000000000       -0.0001084190        0.0000000000
      -13.6000000000       -0.0006325598        0.0000000000       -0.0006325601        0.0000000000
      -13.2000000000       -0.0026804189        0.0000000000       -0.0026804170        0.0000000000
      -12.8000000000       -0.0088464750        0.0000000000       -0.0088464717        0.0000000000
      -12.4000000000       -0.0233956732        0.0000000000       -0.0233956619        0.0000000000
      -12.0000000000       -0.0508672113        0.0000000000       -0.0508671895        0.0000000000
      -11.6000000000       -0.0930516187        0.0000000000       -0.0930515773        0.0000000000
      -11.2000000000       -0.1462500828        0.0000000000       -0.1462500215        0.0000000000
      -10.8000000000       -0.2012631400        0.0000000000       -0.2012630562        0.0000000000
      -10.4000000000       -0.2466682809        0.0000000000       -0.2466681847        0.0000000000
      -10.0000000000       -0.2733767635        0.0000000000       -0.2733766614        0.0000000000
       -9.6000000000       -0.2777283994        0.0000000000       -0.2777283067        0.0000000000
       -9.2000000000       -0.2617873406        0.0000000000       -0.2617872635        0.0000000000
       -8.8000000000       -0.2314239968        0.0000000000       -0.2314239467        0.0000000000
       -8.4000000000       -0.1936932970        0.0000000000       -0.1936932744        0.0000000000
       -8.0000000000       -0.1547693556        0.0000000000       -0.1547693672        0.0000000000
       -7.6000000000       -0.1189284294        0.0000000000       -0.1189284731        0.0000000000
       -7.2000000000       -0.0884454113        0.0000000000       -0.0884454952        0.0000000000
       -6.8000000000       -0.0640095766        0.0000000000       -0.0640097031        0.0000000000
       -6.4000000000       -0.0452956689        0.0000000000       -0.0452958553        0.0000000000
       -6.0000000000       -0.0314685983        0.0000000000       -0.0314688604        0.0000000000
       -5.6000000000       -0.0215383100        0.0000000000       -0.0215386867        0.0000000000
       -5.2000000000       -0.0145656141        0.0000000000       -0.0145661522        0.0000000000
       -4.8000000000       -0.0097564147        0.0000000000       -0.0097572008        0.0000000000
       -4.4000000000       -0.0064858758        0.0000000000       -0.0064870287        0.0000000000
       -4.0000000000       -0.0042861464        0.0000000000       -0.0042878640        0.0000000000
       -3.6000000000       -0.0028191795        0.0000000000       -0.0028217500        0.0000000000
       -3.2000000000       -0.0018471498        0.0000000000       -0.0018510329        0.0000000000
       -2.8000000000       -0.0012059912        0.0000000000       -0.0012118767        0.0000000000
       -2.4000000000       -0.0007841985        0.0000000000       -0.0007931667        0.0000000000
       -2.0000000000       -0.0005067372        0.0000000000       -0.0005204330        0.0000000000
       -1.6000000000       -0.0003234233        0.0000000000       -0.0003444028        0.0000000000
       -1.2000000000       -0.0002006635        0.0000000000       -0.0002328498        0.0000000000
       -0.8000000000       -0.0001157390        0.0000000000       -0.0001652169        0.0000000000
       -0.4000000000       -0.0000528005        0.0000000000       -0.0001289740        0.0000000000
        0.0000000000        0.0000000000        0.0000000000       -0.0001175587        0.0000000000
        0.4000000000        0.0000528005        0.0000000000       -0.0001289740        0.0000000000
        0.8000000000        0.0001157390        0.0000000000       -0.0001652169        0.0000000000
        1.2000000000        0.0002006635        0.0000000000       -0.0002328498        0.0000000000
        1.6000000000        0.0003234233        0.0000000000       -0.0003444028        0.0000000000
        2.0000000000        0.0005067372        0.0000000000       -0.0005204330        0.0000000000
        2.4000000000        0.0007841985        0.0000000000       -0.0007931667        0.0000000000
        2.8000000000        0.0012059912        0.0000000000       -0.0012118767        0.0000000000
        3.2000000000        0.0018471498        0.0000000000       -0.0018510329        0.0000000000
        3.6000000000        0.0028191795        0.0000000000       -0.0028217500        0.0000000000
        4.0000000000        0.0042861464        0.0000000000       -0.0042878640        0.0000000000
        4.4000000000        0.0064858758        0.0000000000       -0.0064870287        0.0000000000
        4.8000000000        0.0097564147        0.0000000000       -0.0097572008        0.0000000000
        5.2000000000        0.0145656141        0.0000000000       -0.0145661522        0.0000000000
        5.6000000000        0.0215383100        0.0000000000       -0.0215386867        0.0000000000
        6.0000000000        0.0314685983        0.0000000000       -0.0314688604        0.0000000000
        6.4000000000        0.0452956689        0.0000000000       -0.0452958553        0.0000000000
        6.8000000000        0.0640095766        0.0000000000       -0.0640097031        0.0000000000
        7.2000000000        0.0884454113        0.0000000000       -0.0884454952        0.0000000000
        7.6000000000        0.1189284294        0.0000000000       -0.1189284731        0.0000000000
        8.0000000000        0.1547693556        0.0000000000       -0.1547693672        0.0000000000
        8.4000000000        0.1936932970        0.0000000000       -0.1936932744        0.0000000000
        8.8000000000        0.2314239968        0.0000000000       -0.2314239467        0.0000000000
        9.2000000000        0.2617873406        0.0000000000       -0.2617872635        0.0000000000
        9.6000000000        0.2777283994        0.0000000000       -0.2777283067        0.0000000000
       10.0000000000        0.2733767635        0.0000000000       -0.2733766614        0.0000000000
       10.4000000000        0.2466682809        0.0000000000       -0.2466681847        0.0000000000
       10.8000000000        0.2012631400        0.0000000000       -0.2012630562        0.0000000000
       11.2000000000        0.1462500828        0.0000000000       -0.1462500215        0.0000000000
       11.6000000000        0.0930516187        0.0000000000       -0.0930515773        0.0000000000
       12.0000000000        0.0508672113        0.0000000000       -0.0508671895        0.0000000000
       12.4000000000        0.0233956732        0.0000000000       -0.0233956619        0.0000000000
       12.8000000000        0.0088464750        0.0000000000       -0.0088464717        0.0000000000
       13.2000000000        0.0026804189        0.0000000000       -0.0026804170        0.0000000000
       13.6000000000        0.0006325598        0.0000000000       -0.0006325601        0.0000000000
       14.0000000000        0.0001084197        0.0000000000       -0.0001084190        0.0000000000
      -14.0000000000       -0.0001084197        0.0000000000       -0.0001084190        0.0000000000
      -13.6000000000       -0.0006325598        0.0000000000       -0.0006325601        0.0000000000
      -13.2000000000       -0.0026804189        0.0000000000       -0.0026804170        0.0000000000
      -12.8000000000       -0.0088464750        0.0000000000       -0.0088464717        0.0000000000
      -12.4000000000       -0.0233956732        0.0000000000       -0.0233956619        0.0000000000
      -12.0000000000       -0.0508672113        0.0000000000       -0.0508671895        0.0000000000
      -11.6000000000       -0.0930516187        0.0000000000       -0.0930515773        0.0000000000
      -11.2000000000       -0.1462500828        0.0000000000       -0.1462500215        0.0000000000
      -10.8000000000       -0.2012631400        0.0000000000       -0.2012630562        0.0000000000
      -10.4000000000       -0.2466682809        0.0000000000       -0.2466681847        0.0000000000
      -10.0000000000       -0.2733767635        0.0000000000       -0.2733766614        0.0000000000
       -9.6000000000       -0.2777283994        0.0000000000       -0.2777283067        0.0000000000
       -9.2000000000       -0.2617873406        0.0000000000       -0.2617872635        0.0000000000
       -8.8000000000       -0.2314239968        0.0000000000       -0.2314239467        0.0000000000
       -8.4000000000       -0.1936932970        0.0000000000       -0.1936932744        0.0000000000
       -8.0000000000       -0.1547693556        0.0000000000       -0.1547693672        0.0000000000
       -7.6000000000       -0.1189284294        0.0000000000       -0.1189284731        0.0000000000
       -7.2000000000       -0.0884454113        0.0000000000       -0.0884454952        0.0000000000
       -6.8000000000       -0.0640095766        0.0000000000       -0.0640097031        0.0000000000
       -6.4000000000       -0.0452956689        0.0000000000       -0.0452958553        0.0000000000
       -6.0000000000       -0.0314685983        0.0000000000       -0.0314688604        0.0000000000
       -5.6000000000       -0.0215383100        0.0000000000       -0.0215386867        0.0000000000
       -5.2000000000       -0.0145656141        0.0000000000       -0.0145661522        0.0000000000
       -4.8000000000       -0.0097564147        0.0000000000       -0.0097572008        0.0000000000
       -4.4000000000       -0.0064858758        0.0000000000       -0.0064870287        0.0000000000
       -4.0000000000       -0.0042861464        0.0000000000       -0.0042878640        0.0000000000
       -3.6000000000       -0.0028191795        0.0000000000       -0.0028217500        0.0000000000
       -3.2000000000       -0.0018471498        0.0000000000       -0.0018510329        0.0000000000
       -2.8000000000       -0.0012059912        0.0000000000       -0.0012118767        0.0000000000
       -2.4000000000       -0.0007841985        0.0000000000       -0.0007931667        0.0000000000
       -2.0000000000       -0.0005067372        0.0000000000       -0.0005204330        0.0000000000
       -1.6000000000       -0.0003234233        0.0000000000       -0.0003444028        0.0000000000
       -1.2000000000       -0.0002006635        0.0000000000       -0.0002328498        0.0000000000
       -0.8000000000       -0.0001157390        0.0000000000       -0.0001652169        0.0000000000
       -0.4000000000       -0.0000528005        0.0000000000       -0.0001289740        0.0000000000
        0.0000000000        0.0000000000        0.0000000000       -0.0001175587        0.0000000000
        0.4000000000        0.0000528005        0.0000000000       -0.0001289740        0.0000000000
        0.8000000000        0.0001157390        0.0000000000       -0.0001652169        0.0000000000
        1.2000000000        0.0002006635        0.0000000000       -0.0002328498        0.0000000000
        1.6000000000        0.0003234233        0.0000000000       -0.0003444028        0.0000000000
        2.0000000000        0.0005067372        0.0000000000       -0.0005204330        0.0000000000
        2.4000000000        0.0007841985        0.0000000000       -0.0007931667        0.0000000000
        2.8000000000        0.0012059912        0.0000000000       -0.0012118767        0.0000000000
        3.2000000000        0.0018471498        0.0000000000       -0.0018510329        0.0000000000
        3.6000000000        0.0028191795        0.0000000000       -0.0028217500        0.0000000000
        4.0000000000        0.0042861464        0.0000000000       -0.0042878640        0.0000000000
